cmd_vx,period,expected_step_m,step_mean_m,step_std_m,n_steps,cadence_steps_per_s,vx_mean,fell,fall_time,seed
0.0,0.6,0.0,0.0019165367998031167,0.022781614695517188,33,3.300660132026405,0.010743623154988575,False,,0
0.0,0.6,0.0,0.0024480253588970613,0.02356470288136942,33,3.300660132026405,0.010045220567825126,False,,1
0.0,0.6,0.0,0.0021723947986598117,0.022001411976698176,33,3.300660132026405,0.00853038678931345,False,,2
0.0,0.7,0.0,-0.0019525672044781307,0.026290800990216287,29,2.9005801160232045,-0.0015926687914387056,False,,0
0.0,0.7,0.0,-0.0014500872931398035,0.026260661313908622,29,2.9005801160232045,-0.0018201238382736845,False,,1
0.0,0.7,0.0,-0.002052583387585021,0.02424397555890098,29,2.9005801160232045,-0.00223899836184304,False,,2
0.0,0.8,0.0,-0.0008291847798323592,0.02328499483838836,25,2.5005001000200036,-0.003578497132724953,False,,0
0.0,0.8,0.0,-0.0009050302524404775,0.02515410136172972,25,2.5005001000200036,-0.004468671878479052,False,,1
0.0,0.8,0.0,-0.0019350216375887451,0.0234053660349965,25,2.5005001000200036,-0.005051863120050948,False,,2
0.0,0.9,0.0,-0.004292740739217882,0.022661025749943418,23,2.3004600920184033,-0.007751574123435979,False,,0
0.0,0.9,0.0,-0.004345207245799431,0.023351614512155224,22,2.2004400880176034,-0.011994450917293158,False,,1
0.0,0.9,0.0,-0.003179767815383512,0.02449473461772776,24,2.4004800960192036,-0.0069733464327676135,False,,2
0.0,1.0,0.0,-0.0021413068379012956,0.024899243581697914,22,2.2004400880176034,-0.008773205822934144,False,,0
0.0,1.0,0.0,-0.0013624157757420475,0.028667756698945505,21,2.100420084016803,-0.007965621373417529,False,,1
0.0,1.0,0.0,-0.0034665877891373134,0.023723918484797372,21,2.100420084016803,-0.010391730683809417,False,,2
0.2,0.6,0.06,0.07257852007742424,0.042737999621167824,33,3.300660132026405,0.25333489563220096,False,,0
0.2,0.6,0.06,0.0724422107943157,0.04525314680781679,33,3.300660132026405,0.2532760537581365,False,,1
0.2,0.6,0.06,0.07184082739475113,0.04294117477734714,33,3.300660132026405,0.24908673611471532,False,,2
0.2,0.7,0.06999999999999999,0.07155948447282527,0.03885849684885076,29,2.9005801160232045,0.21678595772845177,False,,0
0.2,0.7,0.06999999999999999,0.0725465329792904,0.03874738868333766,29,2.9005801160232045,0.21700907914547674,False,,1
0.2,0.7,0.06999999999999999,0.0727666108205778,0.03621526105645737,29,2.9005801160232045,0.2167260061424435,False,,2
0.2,0.8,0.08000000000000002,0.07786988199718209,0.03226008726514008,25,2.5005001000200036,0.19609175926258665,False,,0
0.2,0.8,0.08000000000000002,0.07730220254225711,0.03290568606064864,25,2.5005001000200036,0.1964968773057858,False,,1
0.2,0.8,0.08000000000000002,0.07604726318642763,0.030790225433701204,25,2.5005001000200036,0.19553117995791108,False,,2
0.2,0.9,0.09000000000000001,0.07985415136989434,0.033418704029338914,22,2.2004400880176034,0.17504790638660958,False,,0
0.2,0.9,0.09000000000000001,0.0817532798368419,0.02808688465496157,22,2.2004400880176034,0.18048783784631453,False,,1
0.2,0.9,0.09000000000000001,0.07903626538835097,0.034419059612068155,22,2.2004400880176034,0.17881933752237703,False,,2
0.2,1.0,0.1,0.08662650143849962,0.023775595519031825,20,2.000400080016003,0.17549748380609975,False,,0
0.2,1.0,0.1,0.0868327129564584,0.02416031929564872,20,2.000400080016003,0.17292349561682577,False,,1
0.2,1.0,0.1,0.08417463330857258,0.02199973809619684,20,2.000400080016003,0.16964539071179047,False,,2
0.4,0.6,0.12,0.1402027272098458,0.053831715790078734,33,3.300660132026405,0.4784662136519189,False,,0
0.4,0.6,0.12,0.14085495819241348,0.05361236256369257,33,3.300660132026405,0.4753237465641215,False,,1
0.4,0.6,0.12,0.14101391373293037,0.05175374558041605,33,3.300660132026405,0.4719236264541631,False,,2
0.4,0.7,0.13999999999999999,0.1429460468900265,0.03903911589173215,29,2.9005801160232045,0.4291257193164542,False,,0
0.4,0.7,0.13999999999999999,0.1419306026714031,0.041524404724203726,29,2.9005801160232045,0.42728910667110104,False,,1
0.4,0.7,0.13999999999999999,0.1423482892623718,0.03871230189694228,29,2.9005801160232045,0.4284358820896351,False,,2
0.4,0.8,0.16000000000000003,0.1551975901909816,0.026852601803835238,25,2.5005001000200036,0.3977727776060074,False,,0
0.4,0.8,0.16000000000000003,0.15466907476650005,0.028997329843082783,25,2.5005001000200036,0.39883279770804675,False,,1
0.4,0.8,0.16000000000000003,0.1534557618929411,0.02798107465442334,25,2.5005001000200036,0.39610703523174856,False,,2
0.4,0.9,0.18000000000000002,0.1620423802744149,0.021269029197363648,22,2.2004400880176034,0.3623404917539765,False,,0
0.4,0.9,0.18000000000000002,0.16452581210866785,0.023616042351933715,22,2.2004400880176034,0.37304317829082756,False,,1
0.4,0.9,0.18000000000000002,0.16104606830784518,0.022008453756805643,22,2.2004400880176034,0.36835287288841473,False,,2
0.4,1.0,0.2,0.17489377261358335,0.022773663844562753,20,2.000400080016003,0.3597786350402807,False,,0
0.4,1.0,0.2,0.17828661583700076,0.018887195966105063,20,2.000400080016003,0.3644107441830032,False,,1
0.4,1.0,0.2,0.17334035965396716,0.02428176825240603,20,2.000400080016003,0.3566255225519745,False,,2
0.6,0.6,0.18,0.20139292838308295,0.05137316947659376,33,3.300660132026405,0.6856340736442932,False,,0
0.6,0.6,0.18,0.20054504213170873,0.050160790056722845,33,3.300660132026405,0.6739423350486083,False,,1
0.6,0.6,0.18,0.20018880455856192,0.05152081811178354,33,3.300660132026405,0.6746874918064881,False,,2
0.6,0.7,0.21,0.21195445582903974,0.03469653217746281,29,2.9005801160232045,0.6369181784340631,False,,0
0.6,0.7,0.21,0.21204442338191595,0.035937310216181,29,2.9005801160232045,0.6288104475651496,False,,1
0.6,0.7,0.21,0.21289320574274273,0.03404607063495893,29,2.9005801160232045,0.6352976929412176,False,,2
0.6,0.8,0.24,0.22907254060201038,0.019171315314680908,25,2.5005001000200036,0.6024567606906376,False,,0
0.6,0.8,0.24,0.22973008829301222,0.0211894983162615,25,2.5005001000200036,0.6038382901602215,False,,1
0.6,0.8,0.24,0.22866684619939256,0.01860875979730911,25,2.5005001000200036,0.6015976990062404,False,,2
0.6,0.9,0.27,0.24304555595591423,0.012721057731790445,22,2.2004400880176034,0.5594537148720435,False,,0
0.6,0.9,0.27,0.24552716354057183,0.017754797955296695,22,2.2004400880176034,0.5731974132791268,False,,1
0.6,0.9,0.27,0.24168113652959503,0.009545197260163714,22,2.2004400880176034,0.5654294210328403,False,,2
0.6,1.0,0.3,0.25965346036278614,0.028576436871822146,20,2.000400080016003,0.5455655906900149,False,,0
0.6,1.0,0.3,0.2617427905462536,0.025674554552418696,20,2.000400080016003,0.5545954648713133,False,,1
0.6,1.0,0.3,0.2574779050521657,0.028267897252800153,20,2.000400080016003,0.5419001158864817,False,,2
0.8,0.6,0.24,0.258552842120596,0.0455746418991713,33,3.300660132026405,0.8794057419516709,False,,0
0.8,0.6,0.24,0.25794685723596367,0.04363954330953078,33,3.300660132026405,0.8503627406881414,False,,1
0.8,0.6,0.24,0.2589571901705126,0.045984110381297745,33,3.300660132026405,0.8576440535167907,False,,2
0.8,0.7,0.27999999999999997,0.2763584126500067,0.022643115245674427,29,2.9005801160232045,0.845653319417766,False,,0
0.8,0.7,0.27999999999999997,0.27515023484493106,0.02527162442066671,29,2.9005801160232045,0.8326028880343911,False,,1
0.8,0.7,0.27999999999999997,0.2769643395834363,0.019498409303604462,29,2.9005801160232045,0.8442989008867515,False,,2
0.8,0.8,0.32000000000000006,0.29500295004467936,0.011964484956449473,25,2.5005001000200036,0.7993169619700722,False,,0
0.8,0.8,0.32000000000000006,0.2958481031439464,0.014557927857976318,25,2.5005001000200036,0.8038511473837973,False,,1
0.8,0.8,0.32000000000000006,0.294955011966034,0.011064149580128618,25,2.5005001000200036,0.8015570427435832,False,,2
0.8,0.9,0.36000000000000004,0.31068729584914945,0.018591553131007223,22,2.2004400880176034,0.7484829185168128,False,,0
0.8,0.9,0.36000000000000004,0.3132770084265783,0.01773799534704118,22,2.2004400880176034,0.7529748892913628,False,,1
0.8,0.9,0.36000000000000004,0.310454893866815,0.016397492311020286,22,2.2004400880176034,0.7533508498529639,False,,2
0.8,1.0,0.4,0.3288487132075573,0.03803752933345723,20,2.000400080016003,0.7121397803099753,False,,0
0.8,1.0,0.4,0.3278671523515328,0.03310233982868679,20,2.000400080016003,0.7170857694251977,False,,1
0.8,1.0,0.4,0.3222189761680524,0.034876903481407984,20,2.000400080016003,0.7056873665906146,False,,2
1.0,0.6,0.3,0.3091983709382221,0.037205558419794935,33,3.300660132026405,1.069575833838755,False,,0
1.0,0.6,0.3,0.30625514425527506,0.0361280510180426,33,3.300660132026405,1.0291633255410444,False,,1
1.0,0.6,0.3,0.3075592714992754,0.03726537866496389,33,3.300660132026405,1.0512252644923583,False,,2
1.0,0.7,0.35,0.3344760338122777,0.011563022118165676,29,2.9005801160232045,1.0526788953751738,False,,0
1.0,0.7,0.35,0.33339812633334337,0.014579816771926126,29,2.9005801160232045,1.036399498337556,False,,1
1.0,0.7,0.35,0.33526423189963395,0.011409416449892528,29,2.9005801160232045,1.0495362481161314,False,,2
1.0,0.8,0.4,0.3504977421061011,0.013145593923497569,25,2.5005001000200036,0.9869459382123458,False,,0
1.0,0.8,0.4,0.35087030735772823,0.014303340975425216,25,2.5005001000200036,0.9927947011526144,False,,1
1.0,0.8,0.4,0.3492635299771769,0.016346407526567634,25,2.5005001000200036,0.9870118894145462,False,,2
1.0,0.9,0.45,0.36084912953319426,0.028284688994044578,22,2.2004400880176034,0.9246182370714582,False,,0
1.0,0.9,0.45,0.3598997700461135,0.023775982030668455,22,2.2004400880176034,0.9296309385955907,False,,1
1.0,0.9,0.45,0.35822794146650366,0.025934961745872415,22,2.2004400880176034,0.9219088687018423,False,,2
1.0,1.0,0.5,0.33976595456128933,0.12155242110398207,23,2.3004600920184033,0.8951158787047881,False,,0
1.0,1.0,0.5,0.3098780085928153,0.16584153778156008,24,2.4004800960192036,0.9182528373242838,False,,1
1.0,1.0,0.5,0.3633927989731523,0.07910215211513534,21,2.100420084016803,0.9004295549010155,False,,2
1.2,0.6,0.36,0.3520366229723484,0.03293161741909423,33,3.300660132026405,1.202341094670341,False,,0
1.2,0.6,0.36,0.35242900400229704,0.02927509456980892,33,3.300660132026405,1.1425524947072905,False,,1
1.2,0.6,0.36,0.3518239569785682,0.035527190580906705,33,3.300660132026405,1.1743800453166815,False,,2
1.2,0.7,0.42,0.379721150501711,0.0072033804603667895,29,2.9005801160232045,1.236681420605859,False,,0
1.2,0.7,0.42,0.3781064570085302,0.01003347983979194,29,2.9005801160232045,1.2146551975438737,False,,1
1.2,0.7,0.42,0.37989351264071447,0.008311941825418135,29,2.9005801160232045,1.2255807494443198,False,,2
1.2,0.8,0.48,0.38672622745598845,0.01921395489963588,25,2.5005001000200036,1.1634179553151984,False,,0
1.2,0.8,0.48,0.38765619537971174,0.013692350563793578,25,2.5005001000200036,1.1612734039251646,False,,1
1.2,0.8,0.48,0.38494725645390454,0.01761050518036499,25,2.5005001000200036,1.163441686581907,False,,2
1.2,0.9,0.54,0.4007949427636576,0.043347977685410426,22,2.2004400880176034,1.0724991929149292,False,,0
1.2,0.9,0.54,0.3972472010390707,0.03985005661206346,22,2.2004400880176034,1.0845343288547642,False,,1
1.2,0.9,0.54,0.39828181964634746,0.045904991537611385,22,2.2004400880176034,1.0785740289405812,False,,2
1.2,1.0,0.6,0.3288484933704482,0.15601072434519825,26,2.600520104020804,1.0431114654781355,False,,0
1.2,1.0,0.6,0.33345554872202254,0.15222786992725432,26,2.600520104020804,1.0646010097541265,False,,1
1.2,1.0,0.6,0.34698737132890584,0.1296793774434344,25,2.5005001000200036,1.0215244074216299,False,,2
